date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,ret,ret_abs,log_ret,cum_ret,amplitude,price_chg_vs_open,upper_shadow,lower_shadow,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ratio,vol_ratio_10,amount_ma5,amount_ratio,obv,pv_corr_5,pv_sync_5,vol_level,phase,stock
2026-05-06,sz.301070,90.71,99.98,88.8,99.11,90.68,7294654.0,694202301.88,12.2933,9.2964,,,,,12.3290692545214,9.260280013228979,0.9591004299415772,2.105611288722298,,,,,,,,,,0.0,,,,-1,开勒股份
2026-05-07,sz.301070,98.89,114.0,96.56,110.22,99.11,8084604.0,858308185.87,13.6245,11.2098,0.11209766925638176,0.11209766925638176,0.10624802403647216,0.11209766925638176,17.596609827464434,11.457174638487206,3.822428961472344,2.3561533016482943,,,,,,,,,,8084604.0,,,,-1,开勒股份
2026-05-08,sz.301070,108.0,109.93,103.47,105.25,110.22,5722400.0,604209745.61,9.6436,-4.5092,-0.045091634911994194,0.045091634911994194,-0.04613989589259849,0.06195136716779337,5.861005262202874,-2.5462962962962963,1.7870370370370432,1.6481481481481493,,,,,,,,,,2362204.0,,,,0,开勒股份
2026-05-11,sz.301070,107.47,112.04,104.5,109.35,105.25,5919343.0,643831227.71,9.9755,3.8955,0.038954869358669875,0.038954869358669875,0.03821527456028609,0.10331954394107568,7.163895486935873,1.749325393132963,2.503024099748778,2.7635619242579312,,,,,,,,,,8281547.0,,,,0,开勒股份
2026-05-12,sz.301070,110.0,114.68,106.35,110.37,109.35,6329505.0,692802594.28,10.6668,0.9328,0.009327846364883596,0.009327846364883596,0.009284610662016031,0.11361113913833143,7.617741197988123,0.3363636363636405,3.9181818181818198,3.3181818181818237,106.85999999999999,,,6670101.2,,0.9489368766998617,,698670811.0699999,0.9916008845696404,14611052.0,-0.08491432600833018,0.8,正常,4,开勒股份
2026-05-13,sz.301070,112.58,116.97,106.5,108.76,110.37,6665471.0,736452553.9,11.2329,-1.4587,-0.014587297272809607,0.014587297272809607,-0.014694738020522687,0.09736656240540853,9.486273443870616,-3.393142654112625,3.8994492805116368,2.0074613608100953,108.79,,,6544264.6,,1.0185210115128902,,707120861.474,1.041480451255331,7945581.0,0.5665314882324767,0.8,正常,3,开勒股份
2026-05-14,sz.301070,107.49,110.87,104.0,104.0,108.76,5402475.0,580553913.14,9.1045,-4.3766,-0.043766090474439134,0.043766090474439134,-0.0447527206228973,0.04933911815154923,6.3166605369621225,-3.2468136570843757,3.144478556144767,0.0,107.546,,,6007838.8,,0.8992376759509593,,651570006.928,0.8910077305080014,2543106.0,0.7901432153167461,0.8,正常,2,开勒股份
2026-05-15,sz.301070,102.98,104.33,95.0,96.6,104.0,8230174.0,807187436.93,13.8698,-7.1154,-0.07115384615384623,0.07115384615384623,-0.07381215792290044,-0.025325396024618807,8.971153846153843,-6.195377743251126,1.3109341619731931,1.5536997475237855,105.816,,,6509393.6,,1.2643534107385979,,692165545.192,1.1661768525419651,-5687068.0,-0.6665994885531863,0.6,放量,0,开勒股份
2026-05-18,sz.301070,95.86,100.5,95.4,96.49,96.6,4163265.0,405820998.52,7.0161,-0.1139,-0.0011387163561076274,0.0011387163561076274,-0.0011393651861798398,-0.026435273938048343,5.279503105590057,0.6572084289588936,4.183183809722517,0.4798664719382367,103.244,,,6158178.0,,0.6760546707159163,,644563499.3539999,0.6296059254467954,-9850333.0,0.07972289818222403,0.6,缩量,2,开勒股份
2026-05-19,sz.301070,96.49,98.8,92.95,97.61,96.49,3464341.0,333863004.08,5.8383,1.1607,0.011607420458078499,0.011607420458078499,0.011540571154581233,-0.015134698819493253,6.062804435692812,1.1607420458078606,1.2332884236708446,3.6687739662141077,100.692,103.776,,5585145.2,6127623.2,0.620277696629982,0.5653645609279631,572775581.314,0.5828862384707244,-6385992.0,0.233253202894597,0.4,缩量,2,开勒股份
2026-05-20,sz.301070,97.01,97.99,94.4,97.4,97.61,2427928.0,233013267.76,4.0917,-0.2151,-0.002151418911996661,0.002151418911996661,-0.0021537365383842533,-0.017253556654222235,3.6779018543181943,0.4020204102669834,0.6081847232243986,2.6904442840944225,98.42,103.60499999999999,,4737636.6,5640950.6,0.5124766217822617,0.4304111438238796,472087724.08599997,0.4935804425144342,-8813920.0,0.06560693124134073,0.6,极度缩量,0,开勒股份
2026-05-21,sz.301070,99.35,99.74,90.68,91.28,97.4,3250048.0,307952031.0,5.4771,-6.2834,-0.06283367556468178,0.06283367556468178,-0.06489450509466928,-0.07900312783775576,9.3018480492813,-8.122798188223445,0.3925515853044797,0.6039255158530391,95.876,101.71099999999998,,4307151.2,5157495.0,0.7545702133698022,0.6301601843530629,417567347.658,0.737490689171946,-12063968.0,0.1378186427622032,0.4,缩量,2,开勒股份
2026-05-22,sz.301070,92.01,96.88,91.88,96.09,91.28,3324713.0,314655301.23,5.603,5.2695,0.05269500438212105,0.05269500438212105,0.051353546735356366,-0.030471193623246573,5.4776511831726555,4.434300619497879,0.8586023258341396,0.14128899032714884,95.774,100.79499999999999,,3326059.0,4917726.3,0.9995953168599836,0.6760671084928008,319060920.518,0.9861919182053152,-8739255.0,-0.04146822466963776,0.6,正常,4,开勒股份
2026-05-25,sz.301070,96.65,97.91,94.5,97.06,96.09,2818436.0,272526358.01,4.7498,1.0095,0.01009470288271408,0.01009470288271408,0.010044091687893619,-0.02068408838664082,3.548756374232487,0.4242110708742851,0.8794619762027877,2.2245214692188364,95.888,99.566,,3057093.2,4607635.6,0.9219332927108665,0.6116881291567415,292401992.416,0.9320263372975826,-5920819.0,-0.3029366245093259,0.4,正常,4,开勒股份
2026-05-26,sz.301070,97.07,97.07,92.79,95.43,97.06,2596769.0,245826396.08,4.3762,-1.6794,-0.016793735833504964,0.016793735833504964,-0.016936349547907608,-0.037130461103823675,4.4096435194724775,-1.689502420933333,0.0,2.719686823941486,95.452,98.072,,2883578.8,4234362.0,0.9005368606538514,0.613260982410101,274794670.81600004,0.8945821087069155,-8517588.0,-0.5752920237771072,0.6,正常,0,开勒股份
2026-05-27,sz.301070,95.5,99.44,93.5,97.29,95.43,4141811.0,402329662.33,6.98,1.9491,0.019490726186733642,0.019490726186733642,0.019303214558173774,-0.01836343456765177,6.224457717698835,1.8743455497382262,2.251308900523551,2.094240837696335,95.43,96.92500000000001,,3226355.4,3981996.0,1.2837429503271711,1.0401343949114967,308657949.73,1.30348064153844,-4375777.0,0.17341582930793273,0.6,放量,4,开勒股份
2026-05-28,sz.301070,96.84,103.0,95.48,99.34,97.29,3992201.0,393366085.23,6.7278,2.1071,0.021071024771302183,0.021071024771302183,0.02085210069186805,0.002320653818989271,7.729468599033812,2.5815778603882693,3.779429987608423,1.404378356051218,97.042,96.45899999999999,,3374786.0,3840968.6,1.1829493781235314,1.0393735059432665,325740760.57600003,1.2076047361540498,-383576.0,0.7099795804476066,0.6,放量,3,开勒股份
2026-05-29,sz.301070,99.37,101.0,92.0,93.83,99.34,3253165.0,311430522.45,5.4824,-5.5466,-0.05546607610227505,0.05546607610227505,-0.057063675377246194,-0.05327413984461693,9.05979464465472,-5.575123276642856,1.6403341048606173,1.8416020931870767,96.59,96.182,,3360476.4,3343267.7,0.9680666110316978,0.9730495108124305,325095804.82000005,0.9579653684624866,-3636741.0,0.5614597274298029,0.6,正常,4,开勒股份
2026-06-01,sz.301070,92.16,95.66,89.56,93.78,93.83,2284090.0,212860222.72,3.8492,-0.0533,-0.0005328786102525296,0.0005328786102525296,-0.0005330206405179968,-0.05377862980526671,6.501119045081524,1.7578125000000049,2.039930555555551,2.821180555555549,95.934,95.911,,3253607.2,3155350.2,0.7020177481780837,0.723878446202263,313162577.762,0.679711555068918,-5920831.0,0.78245140683757,0.8,缩量,2,开勒股份
2026-06-02,sz.301070,94.62,95.0,89.71,92.8,93.78,1819045.0,168055850.1,3.0655,-1.045,-0.010449989336745569,0.010449989336745569,-0.010504973869285346,-0.06366663303400244,5.640861590957567,-1.923483407313472,0.4016064257028064,3.2656943563728635,95.408,95.43,99.603,3098062.4,2990820.6,0.5871557009310078,0.6082093322481462,297608468.566,0.5646877285104225,-7739876.0,0.8668841858942379,0.8,极度缩量,2,开勒股份
2026-06-03,sz.301070,93.41,95.79,91.26,92.99,92.8,2001088.0,187875409.84,3.3723,0.2047,0.0020474137931034697,0.0020474137931034697,0.002045320697951049,-0.06174957118353319,4.881465517241381,-0.44963066052885314,2.547907076330168,1.8520501017021622,94.548,94.989,99.297,2669917.8,2948136.6,0.7494942353655982,0.6787636638003816,254717618.068,0.7375830979616195,-5738788.0,0.8711340034573293,0.8,缩量,0,开勒股份
2026-06-04,sz.301070,93.0,105.0,92.49,102.92,92.99,5179981.0,521038058.0,8.7295,10.6786,0.1067856758791268,0.1067856758791268,0.10146002692343752,0.03844213500151383,13.453059468760086,10.666666666666668,2.2365591397849447,0.5483870967741991,95.264,96.153,98.932,2907473.8,3141129.9,1.7816088316943735,1.6490820707542213,280252012.62200004,1.8591768641560793,-558807.0,0.9461277887532253,1.0,显著放量,1,开勒股份
2026-06-05,sz.301070,101.98,102.25,96.88,97.02,102.92,3176500.0,314228776.0,5.3532,-5.7326,-0.05732607850757876,0.05732607850757876,-0.059034844596473006,-0.02108768035516062,5.217644772638947,-4.863698764463628,0.2647577956462012,0.13728181996469951,95.902,96.24600000000001,98.5205,2892140.8,3126308.6,1.0983213542023957,1.0160545251354904,280811663.33199996,1.1190018686242795,-3735307.0,0.9987001978509878,1.0,正常,3,开勒股份
2026-06-08,sz.301070,92.0,96.29,90.03,94.33,97.02,2748340.0,257587475.11,4.6316,-2.7726,-0.02772624201195628,0.02772624201195628,-0.028117870155308634,-0.04822924023811892,6.452277880849315,2.532608695652172,2.1304347826087042,2.1413043478260856,96.012,95.973,97.7695,2984990.8,3119299.0,0.9207197556521782,0.881076164869094,289757113.81,0.8889772255217371,-6483647.0,0.9911998298159754,1.0,正常,4,开勒股份
2026-06-09,sz.301070,95.65,97.75,92.7,97.25,94.33,2407048.0,229570918.36,3.9664,3.0955,0.030955157426057367,0.030955157426057367,0.030485709836793756,-0.018767026536171683,5.353546061698291,1.6727652901202241,0.5227391531625719,3.084161003659177,96.902,96.155,97.1135,3102591.4,3100326.9,0.7758185625087467,0.7763852256999093,302060127.462,0.7600172862566267,-4076599.0,0.9243164561879827,0.8,缩量,2,开勒股份
2026-06-10,sz.301070,96.1,101.9,93.6,96.22,97.25,2742179.0,266513907.83,4.5186,-1.0591,-0.010591259640102879,0.010591259640102879,-0.01064774622724808,-0.029159519725557304,8.534704370179961,0.1248699271592139,5.910509885535908,2.601456815816858,97.548,96.04799999999999,96.4865,3250809.6,2960363.7,0.843537252996915,0.9262980085859044,317787827.06000006,0.8386536082758159,-6818778.0,0.9049532617241277,0.6,缩量,0,开勒股份
2026-06-11,sz.301070,96.99,103.68,96.99,99.31,96.22,3461902.0,347144338.76,5.7046,3.2114,0.03211390563292449,0.03211390563292449,0.031609034643959484,0.0020179598425993373,6.952816462273968,2.391999175172706,4.505619135993406,0.0,96.826,96.045,96.252,2907193.8,2907333.8,1.1908053738969862,1.1907480317533543,283009083.212,1.2266190710916396,-3356876.0,0.5758093364727637,0.6,放量,3,开勒股份
2026-06-12,sz.301070,100.94,102.87,97.0,97.66,99.31,2518159.0,251674802.88,4.1494,-1.6615,-0.016614641023059207,0.016614641023059207,-0.016754212281753087,-0.014630208858843585,5.9107844124458815,-3.2494551218545684,1.9120269467010171,0.6538537745195132,96.954,96.428,96.30499999999999,2775525.6,2833833.2,0.9072728423041747,0.8886052291292232,270498288.588,0.930411812192016,-5875035.0,0.4700613487068996,0.6,正常,4,开勒股份
2026-06-15,sz.301070,71.85,75.55,71.0,74.56,69.84,5632803.0,412630972.39,6.6414,6.7583,-0.23653491705918483,0.23653491705918483,-0.2698878882561783,-0.24770457067904328,6.51489117983963,3.7717466945024474,1.3778705636743145,1.1830201809324905,93.0,94.506,95.20849999999999,3352418.2,3168704.5,1.6802208626596764,1.7776359392300545,301506988.04399997,1.3685618866312421,-11507838.0,-0.9223653930625146,0.4,显著放量,0,开勒股份
2026-06-16,sz.301070,75.48,87.41,73.0,85.68,74.56,8272440.0,674075861.71,9.7536,14.9142,0.14914163090128763,0.14914163090128763,0.13901525576215765,-0.13550600343053143,19.32671673819742,13.513513513513518,2.291997880233161,3.2856385797562315,90.686,93.794,94.612,4525496.6,3814044.0,1.8279629245550644,2.1689419419387925,390407976.71400005,1.726593466105857,-3235398.0,-0.6844238731262959,0.6,显著放量,0,开勒股份
2026-06-17,sz.301070,83.38,84.44,81.18,82.45,85.68,5397566.0,446792424.84,6.364,-3.7698,-0.037698412698412787,0.037698412698412787,-0.03842737713388551,-0.16809605488850754,3.8048552754435,-1.1153753897817134,1.2712880786759444,1.5231470376589062,87.93199999999999,92.74000000000001,93.86449999999999,5056574.0,4153691.8,1.0674353821381828,1.2994623240944358,426463680.11600006,1.0476681735674898,-8632964.0,-0.6409404242337444,0.8,正常,0,开勒股份
2026-06-18,sz.301070,81.95,89.3,81.22,87.16,82.45,5721012.0,493156104.05,6.7454,5.7126,0.057125530624621,0.057125530624621,0.05555346107081124,-0.12057310059529791,9.799878714372344,6.357535082367289,2.6113483831604642,0.8907870652837144,85.502,91.164,93.6585,5508396.0,4207794.9,1.0385985321316769,1.3596223523156985,455666033.17399997,1.0822753247918397,-2911952.0,-0.535341080048942,0.8,正常,3,开勒股份
2026-05-07,sz.300570,155.05,158.08,145.7,150.05,143.87,38070854.0,5753407253.5,19.8087,4.2955,,,,,8.604990616528827,-3.2247662044501775,1.954208319896808,2.8055465978716687,,,,,,,,,,0.0,,,,-1,太辰光
2026-05-08,sz.300570,145.95,167.99,145.33,162.1,150.05,41791778.0,6674421967.32,21.7447,8.0307,0.08030656447850704,0.08030656447850704,0.07724485685525417,0.08030656447850704,15.101632789070308,11.065433367591645,4.035628639945197,0.424803014731056,,,,,,,,,,41791778.0,,,,-1,太辰光
2026-05-11,sz.300570,163.62,183.37,161.0,178.8,162.1,41473369.0,7126362178.01,21.579,10.3023,0.10302282541640984,0.10302282541640984,0.09805443399778355,0.19160279906697775,13.800123380629245,9.277594426109282,2.793057083486122,1.6012712382349372,,,,,,,,,,83265147.0,,,,0,太辰光
2026-05-12,sz.300570,182.46,192.0,175.13,176.71,178.8,33668719.0,6115050351.28,17.5182,-1.1689,-0.011689038031319932,0.011689038031319932,-0.011757891919449565,0.17767410863045652,9.435123042505595,-3.1513756439767624,5.228543242354484,0.8659432204318822,,,,,,,,,,49596428.0,,,,0,太辰光
2026-05-13,sz.300570,174.0,178.76,170.38,178.33,176.71,30804549.0,5388421798.26,16.0279,0.9168,0.00916756267330654,0.00916756267330654,0.009125795644457656,0.18847050983005653,4.742233037179557,2.488505747126444,0.24712643678159676,2.0804597701149454,169.198,,,37161853.8,,0.8289292876987746,,6211532709.674,0.8674866655484136,80400977.0,-0.3782507010766634,0.4,缩量,0,太辰光
2026-05-14,sz.300570,180.01,187.7,175.34,175.55,178.33,34769439.0,6331046293.64,18.0909,-1.5589,-0.015589076431335225,0.015589076431335225,-0.0157118638499807,0.16994335221592793,6.930970672349007,-2.4776401311038163,4.271984889728348,0.11666018554525191,174.29800000000003,,,36501570.8,,0.9525463764425175,,6327060517.702001,1.0006299569803148,45631538.0,-0.5444132956642612,0.4,正常,4,太辰光
2026-05-15,sz.300570,177.0,177.88,160.25,160.4,175.55,36982808.0,6131678299.46,19.2426,-8.63,-0.08630019937339795,0.08630019937339795,-0.09025320718202719,0.06897700766411186,10.042722870976926,-9.378531073446325,0.49717514124293527,0.08474576271186761,173.95800000000003,,,35539776.8,,1.0406032713182376,,6218511784.13,0.986036291690947,8648730.0,-0.14581790422761395,0.2,正常,0,太辰光
2026-05-18,sz.300570,160.0,164.55,154.54,160.33,160.4,22702117.0,3640433316.61,11.8122,-0.0436,-0.00043640897755603536,0.00043640897755603536,-0.0004365042316680556,0.06851049650116625,6.240648379052381,0.20625000000000782,2.6374999999999993,3.412500000000005,170.264,,,31785526.4,,0.7142281274284639,,5521326011.85,0.6593404027939694,-14053387.0,0.2925324921555201,0.4,缩量,2,太辰光
2026-05-19,sz.300570,155.0,156.97,148.0,155.2,160.33,25396464.0,3880229711.99,13.2141,-3.1997,-0.03199650720389213,0.03199650720389213,-0.03251958345162778,0.034321892702432244,5.5947109087507005,0.1290322580645088,1.1419354838709743,4.516129032258064,165.96200000000002,,,30131075.4,,0.8428661660048151,,5074361883.992,0.7646734310043776,-39449851.0,0.43156275135224026,0.2,缩量,2,太辰光
2026-05-20,sz.300570,153.0,164.43,152.0,161.1,155.2,28281661.0,4502712592.46,14.7153,3.8015,0.03801546391752586,0.03801546391752586,0.0373106824338104,0.07364211929356856,8.009020618556706,5.29411764705882,2.1764705882353024,0.6535947712418301,162.51600000000002,165.85700000000003,,29626497.8,33394175.8,0.9546069599897157,0.8469039981516777,4897220042.832001,0.9194425721283576,-11168190.0,0.5332776769776255,0.4,正常,4,太辰光
2026-05-21,sz.300570,162.5,162.5,148.01,148.52,161.1,24298253.0,3764700436.27,12.6426,-7.8088,-0.07808814400993158,0.07808814400993158,-0.08130566087404921,-0.01019660113295573,8.994413407821234,-8.603076923076918,0.0,0.31384615384616577,157.10999999999999,165.704,,27532260.6,32016915.7,0.882537520366199,0.7589192296870745,4383950871.358,0.85874603679211,-35466443.0,0.41576935713573376,0.6,正常,2,太辰光
2026-05-22,sz.300570,151.0,162.0,150.66,161.42,148.52,27116224.0,4246064087.92,14.1089,8.6857,0.08685698895771599,0.08685698895771599,0.08329003458734681,0.07577474175274879,7.635335308375978,6.90066225165562,0.38410596026490895,0.22516556291390954,157.314,165.636,,25558943.8,30549360.3,1.0609289731291636,0.887620026531292,4006828029.05,1.0597070942739515,-8350219.0,0.39879593937393737,0.8,正常,3,太辰光
2026-05-25,sz.300570,163.0,163.48,156.66,163.2,161.42,23642939.0,3805313804.0,12.3017,1.1027,0.011027134184115939,0.011027134184115939,0.01096677863378033,0.08763745418193891,4.225003097509599,0.1226993865030605,0.17177914110429518,3.8895705521472417,157.88799999999998,164.076,,25747108.2,28766317.3,0.9182755133642543,0.8218966214350976,4039804126.528,0.941955026733058,15292720.0,0.34923691365351395,0.6,正常,4,太辰光
2026-05-26,sz.300570,164.0,168.48,157.12,161.67,163.2,20506138.0,3298850315.14,10.6696,-0.9375,-0.009375000000000022,0.009375000000000022,-0.00941922191649164,0.07744085304898318,6.960784313725482,-1.4207317073170809,2.7317073170731643,2.774390243902429,159.182,162.572,,24769043.0,27450059.2,0.8278938350585446,0.747034381623483,3923528247.158,0.8407866867097276,-5213418.0,0.025504151583887746,0.8,缩量,0,太辰光
2026-05-27,sz.300570,158.01,166.18,153.3,161.96,161.67,25586301.0,4129911066.46,13.3128,0.1794,0.0017937774478877788,0.0017937774478877788,0.0017921705504454614,0.07937354215261538,7.9668460444114535,2.4998417821656966,2.6707170432251117,2.980823998481096,159.35399999999998,160.935,,24229971.0,26928234.4,1.0559773678639566,0.950166305741902,3848967941.958,1.0729918068268145,20372883.0,-0.03528954747756537,0.8,正常,4,太辰光
2026-05-28,sz.300570,158.0,172.0,154.35,170.4,161.96,29163130.0,4768810951.64,15.1739,5.2112,0.052111632501852245,0.052111632501852245,0.05079922323125492,0.13562145951349502,10.897752531489258,7.8481012658227876,1.0126582278480976,2.3101265822784844,163.73,160.42000000000002,,25202946.4,26367603.5,1.1571317709107218,1.106021258245938,4049790045.032,1.177545230397819,49536013.0,0.6327946068761358,0.8,放量,3,太辰光
2026-05-29,sz.300570,172.0,181.29,161.4,165.42,170.4,25771228.0,4398691467.54,13.409,-2.9225,-0.029225352112676184,0.029225352112676184,-0.029660920131455114,0.10243252249250179,11.672535211267597,-3.825581395348845,5.401162790697669,2.337209302325571,164.53000000000003,160.922,,24933947.2,25246445.5,1.0335799539994213,1.0207863914942006,4080315520.956,1.0780272861127675,23764785.0,0.8378458904283695,0.8,正常,3,太辰光
2026-06-01,sz.300570,162.34,165.66,147.7,147.75,165.42,21101361.0,3255009818.02,10.9793,-10.6819,-0.1068190061661225,0.1068190061661225,-0.11296603797755268,-0.015328223925358708,10.857211945351233,-8.987310582727611,2.0450905506960657,0.030799556486393598,161.44,159.66400000000002,,24425631.6,25086369.9,0.8639023688541998,0.8411484437212258,3970254723.7599998,0.8198491140984948,2663424.0,0.7654820912688176,1.0,正常,2,太辰光
2026-06-02,sz.300570,147.99,163.95,146.0,160.85,147.75,24384101.0,3822080059.0,12.6873,8.8663,0.08866328257191203,0.08866328257191203,0.08495059739882779,0.07197600799733372,12.14890016920473,8.689776336238925,2.094736130819646,1.3446854517197169,161.276,160.22899999999998,,25201224.2,24985133.6,0.9675760513253162,0.9759443911878861,4074900672.532,0.9379566193511887,27047525.0,0.967472656355046,1.0,正常,2,太辰光
2026-06-03,sz.300570,169.99,181.88,165.0,168.8,160.85,35922565.0,6193591484.7,18.6909,4.9425,0.049424930059061234,0.049424930059061234,0.04824232847682138,0.12495834721759369,10.49424930059061,-0.7000411788928746,6.994529089946459,2.2354256132713757,162.644,160.999,163.428,27268477.0,25749224.0,1.3173660193783467,1.3950931103787827,4487636756.18,1.3801454576667107,62970090.0,0.784465097909176,1.0,放量,1,太辰光
2026-06-04,sz.300570,168.31,178.02,168.31,171.67,168.8,20616501.0,3566127367.96,10.727,1.7002,0.017002369668246198,0.017002369668246198,0.016859447120980885,0.14408530489836657,5.75236966824645,1.9963163210741997,3.772800190125378,0.0,162.898,163.314,164.509,25559151.2,25381048.8,0.8066191572120752,0.8122793176300894,4247100039.4440002,0.8396617303196022,83586591.0,0.38033683068317237,0.8,缩量,0,太辰光
2026-06-05,sz.300570,172.0,180.5,167.0,168.38,171.67,26473680.0,4604539691.82,13.7745,-1.9165,-0.019164676414050175,0.019164676414050175,-0.0193506993733199,0.1221592802399194,7.8639249723306355,-2.1046511627907005,4.941860465116279,0.8023255813953462,163.48999999999998,164.01,164.823,25699641.6,25316794.4,1.0301186457012692,1.0456963698374073,4288269684.3,1.0737523595304446,57112911.0,0.38511722848528407,0.6,正常,3,太辰光
2026-06-08,sz.300570,151.05,161.5,151.05,153.9,168.38,20624702.0,3225670174.96,10.7313,-8.5996,-0.08599596151561939,0.08599596151561939,-0.08992028906468434,0.02565811396201223,6.206200261313689,1.8867924528301847,5.031446540880499,0.0,164.72,163.07999999999998,163.57800000000003,25604309.8,25014970.7,0.8055168118611031,0.8244943496975593,4282401755.6880007,0.7532385700794136,36488209.0,0.37917182613825423,0.6,缩量,2,太辰光
2026-06-09,sz.300570,158.0,184.68,156.24,181.71,153.9,40226973.0,7106437294.77,20.9305,18.0702,0.18070175438596503,0.18070175438596503,0.16610896881613207,0.210996334555148,18.479532163742686,15.006329113924055,1.8797468354430371,1.1139240506329058,168.892,165.084,163.82800000000003,28772884.2,26987054.2,1.3980862231392153,1.4906025941875494,4939273202.842,1.4387617373910477,76715182.0,0.6919277615827994,0.6,放量,1,太辰光
2026-06-10,sz.300570,178.57,179.6,168.0,170.0,181.71,26052072.0,4502439499.42,13.5552,-6.4443,-0.06444334378955485,0.06444334378955485,-0.06661357261070382,0.13295568143951986,6.383798360024211,-4.799238393907148,0.5768046144369161,1.1200089600716807,169.132,165.888,163.4115,26798785.6,27033631.3,0.9721362896384379,0.9636911782546949,4601042805.786,0.9785693568766622,50663110.0,0.7713729912050634,0.6,正常,0,太辰光
2026-06-11,sz.300570,173.0,184.99,169.0,177.58,170.0,31949899.0,5634286579.88,16.6239,4.4588,0.04458823529411782,0.04458823529411782,0.04362277455391914,0.18347217594135268,9.405882352941182,2.647398843930643,4.283236994219651,2.312138728323699,170.31400000000002,166.606,163.513,29065465.2,27312308.2,1.099239209837247,1.1697985672261857,5014674648.17,1.1235597471784364,82613009.0,0.9241933559346326,0.8,正常,3,太辰光
2026-06-12,sz.300570,183.0,192.75,175.0,185.08,177.58,38795826.0,7149201818.02,20.1859,4.2234,0.04223448586552547,0.04223448586552547,0.04136695243461817,0.23345551482839033,9.995494988174343,1.1366120218579303,4.191256830601086,4.371584699453552,173.654,168.572,164.747,31529894.4,28614768.0,1.230445795593911,1.3557973281488775,5523607073.410001,1.2942994899900506,121408835.0,0.9448284026402782,1.0,放量,3,太辰光
2026-06-15,sz.300570,203.23,222.1,203.01,222.1,185.08,30235357.0,6444531666.27,15.7318,20.0022,0.20002161227577253,0.20002161227577253,0.1823395668615828,0.48017327557480805,10.314458612491896,9.285046499040499,0.0,0.10825173448801793,187.294,176.007,167.8355,33452025.4,29528167.6,0.9038423425327186,1.0239496540923183,6167379371.672001,1.0449384216367514,151644192.0,-0.03950015223216933,0.8,正常,0,太辰光
2026-06-16,sz.300570,245.06,263.6,245.06,263.29,222.1,40870178.0,10470076276.94,21.2652,18.5457,0.18545700135074306,0.18545700135074306,0.17012835538956814,0.7546817727424191,8.347591175146341,7.438994531951367,0.12649963274300263,0.0,203.61,186.25100000000003,173.23999999999998,33580666.4,31176775.3,1.217074655790631,1.3109174251257474,6840107168.106001,1.5306889233782464,192514370.0,0.5985484428149133,0.8,放量,1,太辰光
